,date,price_pesos,exchange,price_usd,gas_price,coal_price,gas_rate,coal_rate,log_price
4378,2019-04-15,13287.738749999999,51.6892,257.0699246651138,10.2654610698676,3.480545527476936,25.042219040671828,73.85908979948469,3.981507607039706
4379,2019-04-16,9678.619166666667,51.7621,186.98273769160576,10.2654610698676,3.480545527476936,18.214743246210315,53.72225020919364,3.9124803450300623
4380,2019-04-17,5120.766666666666,51.66,99.1244031487934,10.2654610698676,3.480545527476936,9.65610823265943,28.479559415689977,3.6689935373478524
4381,2019-04-18,2919.6233333333334,51.68620000000001,56.48748279682649,10.2654610698676,3.480545527476936,5.502673714543154,16.229491138929173,3.4581594653082544
4382,2019-04-19,2624.8745833333332,51.68620000000001,50.78482425354027,10.2654610698676,3.480545527476936,4.9471547266990195,14.591052998049543,3.403506769490111
4383,2019-04-20,3196.7341666666666,51.68620000000001,61.848891322377476,10.2654610698676,3.480545527476936,6.024950160682376,17.76988429949142,3.496966009711839
4384,2019-04-21,4258.230416666666,51.68620000000001,82.38621559848987,10.2654610698676,3.480545527476936,8.025573818629507,23.670489280515753,3.590080929168486
4385,2019-04-22,11827.33,51.68620000000001,228.82955218220727,10.2654610698676,3.480545527476936,22.291210363058596,65.74531215745564,3.9464658849647054
4386,2019-04-23,17668.017083333336,52.05960000000001,339.3805769413006,10.2654610698676,3.480545527476936,33.060431931059654,97.50786888494436,4.161748378583327
4387,2019-04-24,10938.45125,52.1822,209.6203542587319,10.2654610698676,3.480545527476936,20.419964854188034,60.22629286239698,3.957155296075452
4388,2019-04-25,5745.600833333334,52.2845,109.8910926437727,10.2654610698676,3.480545527476936,10.704934916789862,31.572950784940105,3.7543768374777726
4389,2019-04-26,5612.775390958333,52.1638,107.59905127614041,10.2654610698676,3.480545527476936,10.48165791519856,30.914421439601014,3.7390239097256406
4390,2019-04-27,5415.519851125,52.1638,103.81758712219967,10.2654610698676,3.480545527476936,10.11329022784348,29.82796412304296,3.7218368425090937
4391,2019-04-28,6965.240200875,52.1638,133.52631903494378,10.2654610698676,3.480545527476936,13.007337724643081,38.36361799632532,3.782877627666783
4392,2019-04-29,13347.649047958335,52.12019999999999,256.0935884351621,10.2654610698676,3.480545527476936,24.94711018746916,73.57857738490941,4.03739651503281
4393,2019-04-30,8532.535668708333,51.814,164.676258708232,10.2654610698676,3.480545527476936,16.041779086923754,47.313347119928814,3.8716003853969014
4394,2019-05-01,3267.6107388333335,51.814,63.064244004194485,10.1454884942687,3.302045728038508,6.215988913675294,19.09853745170759,3.510081259911619
4395,2019-05-02,8182.1279744583335,51.7508,158.10630897412858,10.1454884942687,3.302045728038508,15.583903038621022,47.881320246902646,3.8470040215607058
4396,2019-05-03,9679.226893541667,51.8691,186.6087303142269,10.1454884942687,3.302045728038508,18.393272085384975,56.51306665128373,3.9035347408745635
4397,2019-05-04,4168.533053,51.8691,80.36640414042272,10.1454884942687,3.302045728038508,7.9213932563052625,24.33836801774463,3.603926645216907
4398,2019-05-05,4934.196559083333,51.8691,95.1278614644043,10.1454884942687,3.302045728038508,9.376370740368303,28.808765625699696,3.6556446372576246
4399,2019-05-06,5081.390554041666,51.9573,97.79935743469478,10.1454884942687,3.302045728038508,9.63968935452864,29.617808319326297,3.666126187843602
4400,2019-05-07,5806.038555291667,51.951699999999995,111.758393956149,10.1454884942687,3.302045728038508,11.015575447084936,33.84519875275504,3.7130002934220983
4401,2019-05-08,5466.116043833333,52.166599999999995,104.78191110467873,10.1454884942687,3.302045728038508,10.327931588890097,31.732422787167646,3.68198025544003
4402,2019-05-09,7008.872012250001,52.2443,134.15572631368397,10.1454884942687,3.302045728038508,13.223190424933216,40.628064346454586,3.7729139065303237
4403,2019-05-10,7219.812439083334,52.2903,138.071734893151,10.1454884942687,3.302045728038508,13.609175642074726,41.81399843156286,3.806190923249446
4404,2019-05-11,4168.139483333333,52.2903,79.71152361591602,10.1454884942687,3.302045728038508,7.856844316658183,24.14004231954308,3.6002632759379054
4405,2019-05-12,4004.556891875,52.2903,76.58316918960112,10.1454884942687,3.302045728038508,7.548495001779739,23.19264343897906,3.575143098117072
4406,2019-05-13,2773.925877041667,52.4402,52.89693550065917,10.1454884942687,3.302045728038508,5.213838203112767,16.019443659273968,3.4307494352436123
4407,2019-05-14,13698.341681916667,52.4657,261.09137363871383,10.1454884942687,3.302045728038508,25.734726700070407,79.06958144816734,3.984184835300289
4408,2019-05-15,11058.625879916666,52.3902,211.0819557840334,10.1454884942687,3.302045728038508,20.805499498942407,63.92460104101011,3.9413335592457357
4409,2019-05-16,9104.343778958333,52.48330000000001,173.4712523594807,10.1454884942687,3.302045728038508,17.098363716786682,52.53447912198559,3.8867479579501825
4410,2019-05-17,6705.854270916666,52.728199999999994,127.17775821887845,10.1454884942687,3.302045728038508,12.535400172275844,38.51483858596501,3.778163537693608
4411,2019-05-18,3857.3268632916665,52.728199999999994,73.15491261396495,10.1454884942687,3.302045728038508,7.210585538122781,22.154421422086326,3.564246726588203
4412,2019-05-19,4139.842623416666,52.728199999999994,78.512875907326,10.1454884942687,3.302045728038508,7.7386984324785155,23.777040772225913,3.594376691294037
4413,2019-05-20,6312.999127666667,52.7142,119.75898576980524,10.1454884942687,3.302045728038508,11.804161607147693,36.268118503902386,3.7463442649973078
4414,2019-05-21,5666.285493708333,52.551700000000004,107.82306744992711,10.1454884942687,3.302045728038508,10.627686139591757,32.65341437714629,3.6923007494801205
4415,2019-05-22,4328.543692041667,52.46619999999999,82.50156657127191,10.1454884942687,3.302045728038508,8.131847630390393,24.984986086270755,3.600632749963326
4416,2019-05-23,3337.9772782083332,52.5164,63.56066444402765,10.1454884942687,3.302045728038508,6.264919080035799,19.248874691321785,3.5145720490144794
4417,2019-05-24,3038.462907875,52.2061,58.20130038204348,10.1454884942687,3.302045728038508,5.736668117550185,17.62583112881856,3.4800555747555335
4418,2019-05-25,2732.252012791667,52.2061,52.33587670390369,10.1454884942687,3.302045728038508,5.158536893858667,15.849531173813402,3.43377973242058
